St_Code;Lat_dec;Long_dec
70;23242;67.6833333333333;72.8833333333333
71;23256;67.4666666666667;78.7333333333333
72;23274;67.4666666666667;86.5666666666667
73;23324;66.4333333333333;60.7666666666667
74;23330;66.5333333333333;66.6833333333333
75;23331;66.9;65.6666666666667
76;23345;66.6333333333333;72.9333333333333
77;23365;66.6;82.3
78;23383;66.8833333333333;93.4666666666667
79;23405;65.4333333333333;52.2666666666667
80;23412;65.9666666666667;56.9166666666667
81;23418;65.1166666666667;57.1
82;23445;65.4666666666667;72.6666666666667
83;23463;65.9833333333333;84.2666666666667
84;23472;65.7833333333333;87.9333333333333
85;23514;64.5166666666667;55.4
86;23527;64.2833333333333;60.8833333333333
87;23552;64.9166666666667;77.8166666666667
88;23589;64.2;93.7833333333333
89;23631;63.9333333333333;65.05
90;23656;63.3833333333333;78.3166666666667
91;23662;63.9833333333333;82.0833333333333
92;23678;63.15;87.95
93;23707;62.2333333333333;50.4166666666667
94;23711;62.7;56.2
95;23724;62.4333333333333;60.8666666666667
96;23734;62.45;66.05
97;23804;61.6666666666667;50.8666666666667
98;23849;61.25;73.5
99;23867;61.1;80.25
100;23884;61.6;90.0166666666667
101;23891;61.6666666666667;96.3666666666667
102;23904;60.45;50.9666666666667
103;23914;60.4;56.5166666666667
104;23921;60.6833333333333;60.45
105;23933;61.0166666666667;69.1166666666667
106;23946;60.5;74.0166666666667
107;23955;60.4333333333333;77.8666666666667
108;23966;60.35;84.0833333333333
109;23986;60.3833333333333;93.0333333333333
110;24076;69.3333333333333;139.666666666667
111;24105;68.4666666666667;102.366666666667
112;24125;68.5;112.433333333333
113;24136;68.6166666666667;118.333333333333
114;24143;68.7333333333333;124
115;24266;67.5666666666667;133.4
116;24329;66.25;114.283333333333
117;24343;66.7666666666667;123.4
118;24371;66.8;136.683333333333
119;24382;66.45;143.233333333333
120;24507;64.2666666666667;100.233333333333
121;24538;64.2333333333333;116.916666666667
122;24606;63.5833333333333;103.966666666667
123;24641;63.7833333333333;121.616666666667
124;24643;63.95;124.833333333333
125;24661;64;130.3
126;24671;63.95;135.866666666667
127;24679;63.2166666666667;139.6
128;24688;63.25;143.15
129;24713;62.8833333333333;108.433333333333
130;24726;62.5333333333333;113.866666666667
131;24738;62.15;117.65
132;24763;62.8166666666667;134.433333333333
133;24790;62.7833333333333;148.166666666667
134;24802;61.75;102.8
135;24817;61.2666666666667;108.016666666667
136;24908;60.3333333333333;102.266666666667
137;24923;60.7166666666667;114.883333333333
138;24933;60.95;119.3
139;24944;60.4;120.416666666667
140;24951;60.8166666666667;125.316666666667
141;24959;62.0166666666667;129.716666666667
142;24966;60.3833333333333;134.45
143;24967;60.4666666666667;130
144;24982;60.7166666666667;142.783333333333
145;25034;69.6166666666667;162.3
146;25042;69.9333333333333;167.983333333333
147;25062;69.8833333333333;175.766666666667
148;25138;68.1166666666667;164.166666666667
149;25173;68.9;180.633333333333
150;25206;67.45;153.716666666667
151;25248;67.25;167.966666666667
152;25282;67.8333333333333;184.166666666667
153;25325;66.55;159.416666666667
154;25356;66.3833333333333;173.333333333333
155;25372;67.0166666666667;181.066666666667
156;25378;66.35;180.883333333333
157;25399;66.1666666666667;190.166666666667
158;25400;65.7333333333333;150.9
159;25428;65.2333333333333;160.533333333333
160;25503;64.75;153.966666666667
161;25538;64.2166666666667;164.233333333333
162;25551;64.6833333333333;170.416666666667
163;25563;64.7833333333333;177.566666666667
164;25594;64.4166666666667;186.766666666667
165;25621;64;158.916666666667
166;25656;63.45;172.7
167;25677;63.05;179.316666666667
168;25703;62.9166666666667;152.416666666667
169;25705;62.45;152.316666666667
170;25744;62.4833333333333;166.216666666667
171;25767;62.05;175.2
172;25777;62.4166666666667;179.133333333333
173;25912;59.5666666666667;151.283333333333
174;25913;59.55;150.783333333333
175;25916;58.8333333333333;151.35
176;25922;60.7166666666667;155.883333333333
